t,v,r,s
2022-05-13T22:45:00.137-07:00,12139,0,0
2022-05-13T23:00:00.140-07:00,12140,0,0
2022-05-13T23:15:00.145-07:00,12140,0,0
2022-05-13T23:30:00.138-07:00,12141,0,0
2022-05-13T23:45:01.864-07:00,12141,0,0
2022-05-14T00:00:00.136-07:00,12142,0,0
2022-05-14T00:15:00.149-07:00,12143,0,0
2022-05-14T00:30:00.187-07:00,12143,0,0
2022-05-14T00:45:02.843-07:00,12144,0,0
2022-05-14T01:00:00.190-07:00,12144,0,0
2022-05-14T01:15:00.143-07:00,12145,0,0
2022-05-14T01:30:00.167-07:00,12145,0,0
2022-05-14T01:45:00.128-07:00,12146,0,0
2022-05-14T02:00:00.144-07:00,12147,0,0
2022-05-14T02:15:00.170-07:00,12147,0,0
2022-05-14T02:30:00.154-07:00,12148,0,0
2022-05-14T02:45:00.136-07:00,12148,0,0
2022-05-14T03:00:00.152-07:00,12149,0,0
2022-05-14T03:15:00.146-07:00,12150,0,0
2022-05-14T03:30:00.164-07:00,12150,0,0
2022-05-14T03:45:00.154-07:00,12151,0,0
2022-05-14T04:00:00.140-07:00,12151,0,0
2022-05-14T04:15:00.184-07:00,12152,0,0
2022-05-14T04:30:00.154-07:00,12152,0,0
2022-05-14T04:45:00.144-07:00,12153,0,0
2022-05-14T05:00:00.134-07:00,12154,0,0
2022-05-14T05:15:00.156-07:00,12154,0,0
2022-05-14T05:30:00.137-07:00,12155,0,0
2022-05-14T05:45:00.176-07:00,12155,0,0
2022-05-14T06:00:00.134-07:00,12156,0,0
2022-05-14T06:15:00.130-07:00,12156,0,0
2022-05-14T06:30:00.145-07:00,12157,0,0
2022-05-14T06:45:00.136-07:00,12158,0,0
2022-05-14T07:00:01.506-07:00,12158,0,0
2022-05-14T07:15:00.165-07:00,12159,0,0
2022-05-14T07:30:00.141-07:00,12159,0,0
2022-05-14T07:45:01.683-07:00,12160,0,0
2022-05-14T08:00:00.147-07:00,12160,0,0
2022-05-14T08:15:00.164-07:00,12161,0,0
2022-05-14T08:30:00.150-07:00,12162,0,0
2022-05-14T08:45:00.159-07:00,12162,0,0
2022-05-14T09:00:00.212-07:00,12163,0,0
2022-05-14T09:15:00.140-07:00,12163,0,0
2022-05-14T09:30:00.144-07:00,12164,0,0
2022-05-14T09:45:00.169-07:00,12164,0,0
2022-05-14T10:00:00.216-07:00,12165,0,0
2022-05-14T10:15:00.183-07:00,12165,0,0
2022-05-14T10:30:00.142-07:00,12166,0,0
2022-05-14T10:45:00.131-07:00,12167,0,0
2022-05-14T11:00:00.143-07:00,12167,0,0
2022-05-14T11:15:00.195-07:00,12168,0,0
2022-05-14T11:30:00.130-07:00,12168,0,0
2022-05-14T11:45:00.137-07:00,12169,0,0
2022-05-14T12:00:00.132-07:00,12169,0,0
2022-05-14T12:15:00.320-07:00,12170,0,0
2022-05-14T12:30:00.157-07:00,12171,0,0
2022-05-14T12:45:00.179-07:00,12171,0,0
2022-05-14T13:00:00.134-07:00,12172,0,0
2022-05-14T13:15:00.136-07:00,12172,0,0
2022-05-14T13:30:00.135-07:00,12173,0,0
2022-05-14T13:45:00.128-07:00,12173,0,0
2022-05-14T14:00:00.137-07:00,12174,0,0
2022-05-14T14:15:02.567-07:00,12175,0,0
2022-05-14T14:30:00.208-07:00,12175,0,0
2022-05-14T14:45:00.170-07:00,12176,0,0
2022-05-14T15:00:00.129-07:00,12176,0,0
2022-05-14T15:15:00.160-07:00,12177,0,0
2022-05-14T15:30:00.148-07:00,12177,0,0
2022-05-14T15:45:00.136-07:00,12178,0,0
2022-05-14T16:00:00.141-07:00,12179,0,0
2022-05-14T16:15:00.264-07:00,12179,0,0
2022-05-14T16:30:00.191-07:00,12180,0,0
2022-05-14T16:45:00.136-07:00,12180,0,0
2022-05-14T17:00:00.164-07:00,12181,0,0
2022-05-14T17:15:00.144-07:00,12181,0,0
2022-05-14T17:30:00.140-07:00,12182,0,0
2022-05-14T17:45:00.135-07:00,12183,0,0
2022-05-14T18:00:00.164-07:00,12183,0,0
2022-05-14T18:15:00.150-07:00,12184,0,0
2022-05-14T18:30:00.133-07:00,12184,0,0
2022-05-14T18:45:00.251-07:00,12185,0,0
2022-05-14T19:00:00.155-07:00,12185,0,0
2022-05-14T19:15:00.144-07:00,12186,0,0
2022-05-14T19:30:00.145-07:00,12187,0,0
2022-05-14T19:45:00.122-07:00,12187,0,0
2022-05-14T20:00:00.137-07:00,12188,0,0
2022-05-14T20:15:00.184-07:00,12188,0,0
2022-05-14T20:30:00.189-07:00,12189,0,0
2022-05-14T20:45:02.362-07:00,12189,0,0
2022-05-14T21:00:00.136-07:00,12190,0,0
2022-05-14T21:15:00.172-07:00,12191,0,0
2022-05-14T21:30:00.131-07:00,12191,0,0
2022-05-14T21:45:00.292-07:00,12192,0,0
2022-05-14T22:00:00.158-07:00,12192,0,0
2022-05-14T22:15:00.145-07:00,12193,0,0
2022-05-14T22:30:00.138-07:00,12193,0,0
2022-05-14T22:45:00.190-07:00,12194,0,0
2022-05-14T23:00:00.129-07:00,12195,0,0
2022-05-14T23:15:00.146-07:00,12195,0,0
2022-05-14T23:30:00.218-07:00,12196,0,0
