t,kvaA,kvaB,kvaC 
2022-07-23T08:45-07:00,23657.504630314106,19214.216958630746,21495.905222468147
2022-07-23T09:00-07:00,24498.126622254204,19094.128102639304,21736.08293445103
2022-07-23T09:15-07:00,24380.347167339518,18285.26037550464,20077.932961338425
2022-07-23T09:30-07:00,24738.304334237087,19334.30581462219,21856.171790442473
2022-07-23T09:45-07:00,23657.504630314106,18253.50611069921,20174.927806562286
2022-07-23T10:00-07:00,23884.980636374818,18638.59874024869,20005.186827420534
2022-07-23T10:15-07:00,24369.954862494105,20126.430383950355,21702.596618838033
2022-07-23T10:30-07:00,24495.239870908255,18913.99481865214,21357.91850813183
2022-07-23T10:45-07:00,24012.575045865728,18220.5971453554,20295.016662553728
2022-07-23T11:00-07:00,26059.28175014295,19574.483526605072,22336.527214408245
2022-07-23T11:15-07:00,26179.37060613439,19789.257826743615,22096.349502425357
2022-07-23T11:30-07:00,26179.37060613439,19306.593001701087,20895.460942510937
2022-07-23T11:45-07:00,25703.63398432214,19856.8078082388,21945.083731897677
2022-07-23T12:00-07:00,26067.364653911605,20100.449621836822,22066.3272884275
2022-07-23T12:15-07:00,25822.568139775205,20005.186827420534,20271.922651786143
2022-07-23T12:30-07:00,25578.92632617718,20151.25644552551,19814.661238587956
2022-07-23T12:45-07:00,26188.608210441427,20975.135279659105,21581.35306230821
2022-07-23T13:00-07:00,26794.825993090533,20490.16105353982,20490.16105353982
2022-07-23T13:15-07:00,27149.896408642155,20247.673940480177,20633.921270568037
2022-07-23T13:30-07:00,26552.33888003089,19883.94327089071,21840.583333174356
2022-07-23T13:45-07:00,26305.23296481773,20005.186827420534,20151.25644552551
2022-07-23T14:00-07:00,25339.903314732677,19909.924033004245,20271.922651786143
2022-07-23T14:15-07:00,25581.23572725394,19547.92541422235,21719.917126913722
2022-07-23T14:30-07:00,25946.121097381783,19277.725488241605,20490.16105353982
2022-07-23T14:45-07:00,26309.85176697125,19978.628715037812,20368.91749701
2022-07-23T15:00-07:00,26916.069549620355,19883.94327089071,22081.915745695616
2022-07-23T15:15-07:00,26188.608210441427,19883.94327089071,22081.915745695616
2022-07-23T15:30-07:00,26305.23296481773,19156.481931711784,20633.921270568037
2022-07-23T15:45-07:00,25098.570902211413,19641.45615783107,20151.25644552551
2022-07-23T16:00-07:00,25339.903314732677,20368.91749701,21719.917126913722
2022-07-23T16:15-07:00,23771.242633344464,18186.53347947321,20392.588858046773
2022-07-23T16:30-07:00,24253.90745838699,18671.5077055925,20151.25644552551
2022-07-23T16:45-07:00,24854.92908861339,18792.75126212232,22202.58195195625
2022-07-23T17:00-07:00,25461.1468712625,18882.24055384671,22066.3272884275
2022-07-23T17:15-07:00,24736.572283429516,18099.930939094767,20415.10551854517
2022-07-23T17:30-07:00,24127.46774943446,18792.75126212232,21719.917126913722
2022-07-23T17:45-07:00,24017.771198288432,18703.26197039793,21495.905222468147
2022-07-23T18:00-07:00,24012.575045865728,18099.930939094767,20295.016662553728
2022-07-23T18:15-07:00,24012.575045865728,18671.5077055925,21478.58471439246
2022-07-23T18:30-07:00,23891.908839605094,18703.26197039793,21976.260646433915
2022-07-23T18:45-07:00,25339.903314732677,18550.264149062677,20392.588858046773
2022-07-23T19:00-07:00,24977.90469595078,19065.260589179823,21856.171790442473
2022-07-23T19:15-07:00,23537.415774322664,18853.95039065642,21512.071030005456
2022-07-23T19:30-07:00,23777.593486305548,18823.92817665856,19934.750094579398
2022-07-23T19:45-07:00,23891.908839605094,19398.969044771427,21719.917126913722
2022-07-23T20:00-07:00,23897.68234229699,18823.92817665856,21615.99407845959
2022-07-23T20:15-07:00,25098.570902211413,18133.41725470777,20295.016662553728
2022-07-23T20:30-07:00,26539.637174108717,18703.26197039793,22096.349502425357
2022-07-23T20:45-07:00,26419.548318117275,18823.92817665856,22229.14006433897
2022-07-23T21:00-07:00,26184.5667585571,18220.5971453554,20295.016662553728
2022-07-23T21:15-07:00,25581.23572725394,18429.020592532856,20271.922651786143
2022-07-23T21:30-07:00,25701.90193351457,18703.26197039793,21719.917126913722
2022-07-23T21:45-07:00,26063.900552296465,18099.930939094767,20151.25644552551
2022-07-23T22:00-07:00,25339.903314732677,18307.777036003034,20271.922651786143
2022-07-23T22:15-07:00,26179.37060613439,19547.92541422235,21615.99407845959
2022-07-23T22:30-07:00,26419.548318117275,19185.926795440453,21856.171790442473
2022-07-23T22:45-07:00,26299.459462125833,18944.594382919193,20415.10551854517
2022-07-23T23:00-07:00,25581.23572725394,19065.260589179823,21840.583333174356
2022-07-23T23:15-07:00,25939.192894151507,19185.926795440453,21495.905222468147
2022-07-23T23:30-07:00,25218.659758202855,18373.594966690653,20316.955972782933
2022-07-23T23:45-07:00,25218.659758202855,19185.926795440453,21495.905222468147
2022-07-24T00:00-07:00,25338.748614194297,18703.26197039793,21615.99407845959
2022-07-24T00:15-07:00,25218.659758202855,17893.23954272488,19958.421455616175
2022-07-24T00:30-07:00,25578.92632617718,18582.595764137295,21375.816366476705
2022-07-24T00:45-07:00,25946.121097381783,18913.99481865214,21840.583333174356
2022-07-24T01:00-07:00,26063.900552296465,18307.777036003034,20392.588858046773
2022-07-24T01:15-07:00,25219.237108472043,18792.75126212232,21840.583333174356
2022-07-24T01:30-07:00,25460.569520993307,19156.481931711784,21599.250920653092
2022-07-24T01:45-07:00,25458.83747018574,18373.594966690653,20077.932961338425
2022-07-24T02:00-07:00,25098.570902211413,18823.92817665856,21273.048018560952
2022-07-24T02:15-07:00,25098.570902211413,18582.595764137295,19934.750094579398
2022-07-24T02:30-07:00,25097.416201673033,18133.41725470777,20077.932961338425
2022-07-24T02:45-07:00,24738.304334237087,19065.260589179823,21736.08293445103
2022-07-24T03:00-07:00,25694.973730284295,19214.216958630746,21870.605547172214
2022-07-24T03:15-07:00,26419.548318117275,18373.594966690653,20675.49048994969
2022-07-24T03:30-07:00,25218.659758202855,18613.772678673537,21631.58253572771
2022-07-24T03:45-07:00,25338.748614194297,18613.772678673537,21751.094041449964
2022-07-24T04:00-07:00,25578.92632617718,18013.328398716323,19958.421455616175
2022-07-24T04:15-07:00,24977.90469595078,18493.683822682095,21289.21382609826
2022-07-24T04:30-07:00,25216.927707395287,18733.86153466498,21631.58253572771
2022-07-24T04:45-07:00,25097.416201673033,18493.683822682095,19838.90994989392
2022-07-24T05:00-07:00,25097.416201673033,18404.77188122689,21392.559524283206
2022-07-24T05:15-07:00,25933.996741728803,18524.283386949144,21527.08213700439
2022-07-24T05:30-07:00,25455.95071883979,18133.41725470777,20316.955972782933
2022-07-24T05:45-07:00,24858.39319022853,18133.41725470777,19838.90994989392
2022-07-24T06:00-07:00,25338.748614194297,19789.257826743615,21615.99407845959
2022-07-24T06:15-07:00,26059.28175014295,18823.92817665856,20295.016662553728
2022-07-24T06:30-07:00,24857.23848969015,18944.594382919193,19814.661238587956
2022-07-24T06:45-07:00,25701.90193351457,19035.23837518196,21478.58471439246
2022-07-24T07:00-07:00,26063.900552296465,18703.26197039793,19814.661238587956
2022-07-24T07:15-07:00,25339.903314732677,18186.53347947321,20392.588858046773
2022-07-24T07:30-07:00,24738.304334237087,18613.772678673537,21512.071030005456
2022-07-24T07:45-07:00,23417.326918331222,18582.595764137295,19934.750094579398
2022-07-24T08:00-07:00,23417.326918331222,18253.50611069921,19958.421455616175
2022-07-24T08:15-07:00,24012.575045865728,18823.92817665856,21495.905222468147
2022-07-24T08:30-07:00,24012.575045865728,18703.26197039793,19934.750094579398
2022-07-24T08:45-07:00,24378.037766262758,18220.5971453554,20174.927806562286
2022-07-24T09:00-07:00,23897.68234229699,18944.594382919193,21615.99407845959
2022-07-24T09:15-07:00,24374.57366464762,18823.92817665856,20415.10551854517
2022-07-24T09:30-07:00,24858.39319022853,18341.26335161603,20775.372086519495
2022-07-24T09:45-07:00,23657.504630314106,18823.92817665856,21856.171790442473
