Single Line Building Name,Building String,Building code,Building Number,Caltech Building List Name,Substation,Jace,Meter Name (unmodified),Meter Name,Meter Description,Notes,Query Base,Measurements,Measurements Cleaned
Beckman Institute,beckmanInstitute,BI74,74,BECKMAN INSTITUTE,Substation 3,BI74_1,BTU_CHW_074_B2_1,BTU_CHW,C047 Meters BI74 Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBI74_1$2fBTU_CHW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Beckman Institute,beckmanInstitute,BI74,74,BECKMAN INSTITUTE,Substation 3,BI74_1,BTU_HW_074_B2_1,BTU_HW,H025 Meters BI74 Hot Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBI74_1$2fBTU_HW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Beckman Institute,beckmanInstitute,BI74,74,BECKMAN INSTITUTE,Substation 3,BI74_4,EM_74_B1_1,EM_74_B1_1,E117 Meters Building BI74,,https://192.168.10.104/webChart/query/data/history$3a$2fBI74_4$2fEM_74_B1_1_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
Beckman Institute,beckmanInstitute,BI74,74,BECKMAN INSTITUTE,Substation 3,BI74_4,EM_74_B1_2,EM_74_B1_2,E116 Meters Building BI74,,https://192.168.10.104/webChart/query/data/history$3a$2fBI74_4$2fEM_74_B1_2_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
Beckman Behavioral Biology,bbb,BB76,76,BECKMAN BEHAVIORAL BIOLOGY LABORATORY,Substation 2,BB76_1,BTU_CHW_076_B1_1,BTU_CHW,C049 Meters BB76 Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBB76_1$2fBTU_CHW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Beckman Behavioral Biology,bbb,BB76,76,BECKMAN BEHAVIORAL BIOLOGY LABORATORY,Substation 2,BB76_1,BTU_HW_076_B1_1,BTU_HW,H036 Meters BB76 Hot Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBB76_1$2fBTU_HW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Beckman Behavioral Biology,bbb,BB76,76,BECKMAN BEHAVIORAL BIOLOGY LABORATORY,Substation 2,BB76_1,EM_76_B1_1,EM_76_B1_1,E107 Meters Building BB76,,https://192.168.10.104/webChart/query/data/history$3a$2fBB76_1$2fEM_76_B1_1_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsAC', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
Braun Gym,braunGym,BR03,3,BRAUN ATHLETIC CENTER,Substation 4,BAC3_1,BTU_CHW_022_R_1,BTU_CHW,C001 Meters IPAC22 Chilled Water,,https://192.168.10.104/webChart/query/data/history$3a$2fBAC3_1$2fBTU_CHW_,"['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']","['FlowRate', 'SupplyTemp', 'EnergyRate', 'ReturnTemp']"
Braun Gym,braunGym,BR03,3,BRAUN ATHLETIC CENTER,Substation 4,BAC3_1,EM_003_1_1,EM_03_1_1,E059 Meters Building BAC03 1,,https://192.168.10.104/webChart/query/data/history$3a$2fBAC3_1$2fEM_3_1_1_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
Braun Gym,braunGym,BR03,3,BRAUN ATHLETIC CENTER,Substation 4,BAC3_1,EM_003_1_PV,EM_03_1_PV,E066 Meters Building BAC03 PV,,https://192.168.10.104/webChart/query/data/history$3a$2fBAC3_1$2fEM_3_1_PV_,"['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']","['kW', 'kVar', 'kVA', 'AmpsA', 'AmpsB', 'AmpsC', 'VoltsAB', 'VoltsBC', 'VoltsCA', 'Frequency', 'PowerFactor']"
