t,kvaA,kvaB,kvaC 
2022-04-11T04:45-07:00,18136.66962918913,16750.573913897977,16941.964435137295
2022-04-11T05:00-07:00,19831.860079703187,17862.537932702508,18486.317352757946
2022-04-11T05:15-07:00,18592.086750320806,16366.31250283125,17940.81852179568
2022-04-11T05:30-07:00,19804.268508052428,15740.405785189325,19795.455987416146
2022-04-11T05:45-07:00,18674.948128456075,15708.251306377457,18267.952108995367
2022-04-11T06:00-07:00,21117.44802711084,16907.543869820714,19161.413413375994
2022-04-11T06:15-07:00,23485.681826993197,20571.78420522167,22690.208957500443
2022-04-11T06:30-07:00,23972.031248226547,20010.72551346828,21682.737787078575
2022-04-11T06:45-07:00,23224.74405920374,21335.548645348616,27100.876704274477
2022-04-11T07:00-07:00,24235.446956627227,22830.434803122353,28251.843073709744
2022-04-11T07:15-07:00,23677.019608579063,21746.507004318013,25869.08148050344
2022-04-11T07:30-07:00,24187.121191200567,20448.379363637716,23513.353355449235
2022-04-11T07:45-07:00,23251.40847959694,23872.640663706374,22759.828610431865
2022-04-11T08:00-07:00,22136.02799522505,22731.278050235713,26652.481350075916
2022-04-11T08:15-07:00,23059.630534319975,24862.844361294377,27775.045881550923
2022-04-11T08:30-07:00,26015.913630792027,24513.612617580045,24596.581569563998
2022-04-11T08:45-07:00,37659.930629299815,39604.0490397198,39115.79197276729
2022-04-11T09:00-07:00,27244.728392687815,26439.512142417334,28866.74520236885
2022-04-11T09:15-07:00,25427.61318782591,23799.183007558997,26787.304383191135
2022-04-11T09:30-07:00,29966.532909139616,27037.119967064118,29125.66747929172
2022-04-11T09:45-07:00,22294.858582476747,21125.93650954248,23718.880631652006
2022-04-11T10:00-07:00,29762.322270033186,27581.315913658804,28092.436633555284
2022-04-11T10:15-07:00,25334.255028392083,24084.622592884836,24235.91566734526
2022-04-11T10:30-07:00,28269.94013776695,26337.987001956753,25867.34607921184
2022-04-11T10:45-07:00,24912.135404784007,23656.57683555505,26902.647944245397
2022-04-11T11:00-07:00,31208.136845191024,31849.51054125782,33311.46041509021
2022-04-11T11:15-07:00,41625.003678952235,44618.752102912775,44968.15492835618
2022-04-11T11:30-07:00,33121.64773356042,39349.57738206847,36783.14685703243
2022-04-11T11:45-07:00,25364.163014233276,27042.586131688047,25206.002190359555
2022-04-11T12:00-07:00,38469.822064244465,39714.12149679754,40048.26793037207
2022-04-11T12:15-07:00,24024.72640561524,31260.6416695239,27495.109351283867
2022-04-11T12:30-07:00,30670.912629851045,35979.8848291543,34748.04113943177
2022-04-11T12:45-07:00,39240.86001336456,45450.34967371646,41853.19073689977
2022-04-11T13:00-07:00,31938.19955578702,34478.519844501854,34308.53871548685
2022-04-11T13:15-07:00,32339.548698048806,33859.376000843935,34512.459152765194
2022-04-11T13:30-07:00,38234.290139632874,39424.85131196899,38570.87689957699
2022-04-11T13:45-07:00,33606.43024785485,34950.952862499165,36168.88126523643
2022-04-11T14:00-07:00,26737.382088907776,28271.325322466353,24004.712921655024
2022-04-11T14:15-07:00,46768.15207833143,46690.408160870116,44739.298561564225
2022-04-11T14:30-07:00,30914.50889991338,31137.98490016668,30740.470054695463
2022-04-11T14:45-07:00,41764.76555278242,41482.006408367466,41556.2419092575
2022-04-11T15:00-07:00,24510.677901512892,25210.824670587506,26024.274037410545
2022-04-11T15:15-07:00,28436.47678904122,28907.517335398694,27204.59344756261
2022-04-11T15:30-07:00,42653.097647511466,40273.852714060966,40128.12546422033
2022-04-11T15:45-07:00,27297.827252505533,23765.77829587007,22610.78271335917
2022-04-11T16:00-07:00,26514.638735664616,23068.755162772635,24858.580801070802
2022-04-11T16:15-07:00,22664.272006380583,23562.886823546465,23506.72810491529
2022-04-11T16:30-07:00,32061.952634364563,29826.523588618504,30947.967827755692
2022-04-11T16:45-07:00,21955.553648345416,20742.19974282487,21488.12172607671
2022-04-11T17:00-07:00,23600.213071104572,20398.177217236276,21766.926413238678
2022-04-11T17:15-07:00,23784.409881824533,19702.422170004294,21766.703505979836
2022-04-11T17:30-07:00,22266.56652342096,18394.45487943071,22151.722375537116
2022-04-11T17:45-07:00,24283.414315733495,20445.88319048058,22653.070468295176
2022-04-11T18:00-07:00,22858.11741115571,21031.060768907155,21140.042140963833
2022-04-11T18:15-07:00,24182.513630604393,20054.44023328493,21810.08389127512
2022-04-11T18:30-07:00,23626.761305569868,20798.740232333337,24518.186687342062
2022-04-11T18:45-07:00,24598.543750218843,22694.525052261575,24188.733452994744
2022-04-11T19:00-07:00,26742.892557492978,23288.154081443947,26233.730550405828
2022-04-11T19:15-07:00,21443.64543224712,19209.84797956052,23950.654874805317
2022-04-11T19:30-07:00,25873.0404336399,21931.093024971116,24152.373778022044
2022-04-11T19:45-07:00,22618.40756884386,19303.82330531889,24464.121797739837
2022-04-11T20:00-07:00,24129.97767857449,19948.27308180115,23356.11241085587
2022-04-11T20:15-07:00,21616.05155197568,21338.964888564664,23780.246673024525
